Week,Company,Mentions
02.19 - 02.26,Apple,0
02.26 - 03.04,Apple,3
03.04 - 03.11,Apple,5
03.11 - 03.18,Apple,5
03.18 - 03.25,Apple,0
04.01 - 04.08,Apple,0
04.08 - 04.15,Apple,0
02.19 - 02.26,ChatGPT,0
02.26 - 03.04,ChatGPT,2
03.04 - 03.11,ChatGPT,0
03.11 - 03.18,ChatGPT,0
03.18 - 03.25,ChatGPT,0
04.01 - 04.08,ChatGPT,0
04.08 - 04.15,ChatGPT,0
02.19 - 02.26,Android,0
02.26 - 03.04,Android,0
03.04 - 03.11,Android,0
03.11 - 03.18,Android,3
03.18 - 03.25,Android,2
04.01 - 04.08,Android,0
04.08 - 04.15,Android,0
02.19 - 02.26,Google,7
02.26 - 03.04,Google,0
03.04 - 03.11,Google,0
03.11 - 03.18,Google,0
03.18 - 03.25,Google,0
04.01 - 04.08,Google,0
04.08 - 04.15,Google,4
02.19 - 02.26,GitHub,3
02.26 - 03.04,GitHub,3
03.04 - 03.11,GitHub,0
03.11 - 03.18,GitHub,6
03.18 - 03.25,GitHub,0
04.01 - 04.08,GitHub,3
04.08 - 04.15,GitHub,0
02.19 - 02.26,Intel,0
02.26 - 03.04,Intel,0
03.04 - 03.11,Intel,3
03.11 - 03.18,Intel,0
03.18 - 03.25,Intel,0
04.01 - 04.08,Intel,2
04.08 - 04.15,Intel,0
02.19 - 02.26,the European Union,0
02.26 - 03.04,the European Union,0
03.04 - 03.11,the European Union,0
03.11 - 03.18,the European Union,2
03.18 - 03.25,the European Union,0
04.01 - 04.08,the European Union,0
04.08 - 04.15,the European Union,0
02.19 - 02.26,YouTube,0
02.26 - 03.04,YouTube,0
03.04 - 03.11,YouTube,0
03.11 - 03.18,YouTube,0
03.18 - 03.25,YouTube,2
04.01 - 04.08,YouTube,0
04.08 - 04.15,YouTube,0
02.19 - 02.26,Boeing,0
02.26 - 03.04,Boeing,0
03.04 - 03.11,Boeing,0
03.11 - 03.18,Boeing,2
03.18 - 03.25,Boeing,0
04.01 - 04.08,Boeing,0
04.08 - 04.15,Boeing,0
