id,keywords,date,keywords_normalized
39409535,[],20-02-2024,[]
39409650,"['Vision models', 'Ollama', 'Language models', 'Windows', 'GPU', 'Preview']",20-02-2024,"['Vision models', 'Ollama', 'Language models', 'Windows', 'GPU', 'Preview']"
39409653,"['Solar farm', 'Renewable energy', 'Climate change', 'Job creation', 'Infrastructure development']",20-02-2024,"['Solar farm', 'Renewable energy', 'Climate change', 'Job creation', 'Infrastructure development']"
39413972,"['Gitlab', 'Postgres', 'Schema', 'Microframework', 'DevOps', 'Postgres', 'Gitlab', 'DevOps', 'SQL']",20-02-2024,"['Gitlab', 'Postgres', 'Schema', 'Microframeworks', 'DevOps', 'Postgres', 'Gitlab', 'DevOps', 'SQL']"
39414532,"['Control Vector', 'AI', 'Model Behavior Inference', 'the Center for AI Safety', 'Prompt Engineering', 'AI Interpretability', 'Representation Engineering']",20-02-2024,"['Control Vector', 'AI', 'Model Behavior Inference', 'the Center for AI Safety', 'Prompt Engineering', 'AI Interpretability', 'Representation Engineering']"
39415234,"['Hugo Awards', 'Censorship', 'China', 'Transparency', 'Trust']",20-02-2024,"['Hugo Awards', 'Censorship', 'China', 'Transparency', 'Trust']"
39416543,"['Code minimalism', 'Microframeworks', 'Vanilla HTML', 'Modular interfaces', 'CTO']",20-02-2024,"['Minimalism', 'Microframeworks', 'Vanilla HTML', 'Modular interfaces', 'CTO']"
39421090,"['Code editor', 'Remote development', 'Syntax highlighting', 'Code intelligence', 'Rust-powered', 'GUI']",20-02-2024,"['Code editor', 'Remote development', 'Syntax highlighting', 'Code intelligence', 'Rust-powered', 'GUI']"
39423949,"['Personal insights', 'Google rankings', 'Google', 'Hacker News', 'Forum ranking', '""Hidden gem"" update']",20-02-2024,"['Personal insights', 'Google rankings', 'Google', 'Hacker News', 'Forum ranking', '""Hidden gem"" update']"
39424688,"['Vanilla HTML', 'Content quality', 'Small platforms', 'Modularity', 'YouTube', 'WhatsApp', 'Microframeworks', 'Signal']",20-02-2024,"['Vanilla HTML', 'Content quality', 'Small platforms', 'Modularity', 'YouTube', 'WhatsApp', 'Microframeworks', 'Signal']"
39426631,"['API', 'Visual editor', 'Rendering features', 'Spine', 'Cross-platform', 'Game engine']",20-02-2024,"['API', 'Visual editor', 'Rendering features', 'Spine', 'Cross-platform', 'Game engine']"
39427876,"['Spotify', 'Redesign', 'Pricing changes', 'Personalization', 'User experience']",20-02-2024,"['Spotify', 'Redesign', 'Pricing changes', 'Personalization', 'User experience']"
39428409,"['Deductive reasoning', 'User interface improvements', 'the Firefox-UI-Fix', 'Familiarity and comfortability', 'GitHub', 'Firefox v89', 'Proton UI']",20-02-2024,"['Deductive reasoning', 'User interface improvements', 'the Firefox-UI-Fix', 'Familiarity and comfortability', 'GitHub', 'Firefox v89', 'Proton UI']"
39428880,"['AI language interface', 'Natural language processing', 'Machine learning', 'Interaction between humans and technology', 'Intuitive computing', 'GroqLabs']",20-02-2024,"['AI language interface', 'Natural language processing', 'Machine learning', 'Interaction between humans and technology', 'Intuitive computing', 'GroqLabs']"
39429370,"['Microframework', 'Vanilla HTML', 'Modular interfaces', 'Code minimalism', 'Swappable pages']",20-02-2024,"['Microframeworks', 'Vanilla HTML', 'Modular interfaces', 'Minimalism', 'Swappable pages']"
39430095,"['Cancellation policy', 'Digital access', 'Tagrisso', 'Non-small cell lung cancer', 'Financial Times', 'Drug cost']",20-02-2024,"['Cancellation policy', 'Digital access', 'Tagrisso', 'Non-small cell lung cancer', 'Financial Times', 'Drug cost']"
39432876,"['Productivity', 'Task management', 'Prioritization', 'Time management', 'Minimalism']",20-02-2024,"['Productivity', 'Task management', 'Prioritization', 'Time management', 'Minimalism']"
39433451,"['Editorial decisions', 'Algorithm updates', 'Search result quality', 'Independent sites', 'Media publishers', 'HouseFresh', 'Google']",20-02-2024,"['Editorial decisions', 'Algorithm updates', 'Search result quality', 'Independent sites', 'Media publishers', 'HouseFresh', 'Google']"
39435320,"['AI', 'Industry applications', 'Machine learning', 'Artificial intelligence', 'Algorithm enhancements', 'Investments']",20-02-2024,"['AI', 'Industry applications', 'Machine learning', 'Artificial intelligence', 'Algorithm enhancements', 'Investments']"
39436358,"['Voicemail greeting', 'IKEA', 'PBX', 'DTMF tones', 'Call screening', 'DTMF', 'Spam robocalls']",20-02-2024,"['Voicemail greeting', 'IKEA', 'PBX', 'DTMF tones', 'Call screening', 'DTMF', 'Spam robocalls']"
39439655,"['Canvas rendering', 'WASM', 'Microframeworks', 'JavaScript', 'Modular interfaces', 'Disney World', 'API', 'WebAssembly (WASM)', 'A-Frame', 'WebAssembly', 'OpenStreetMap']",21-02-2024,"['Canvas rendering', 'WASM', 'Microframeworks', 'JavaScript', 'Modular interfaces', 'Disney World', 'API', 'WebAssembly (WASM)', 'A-Frame', 'WebAssembly', 'OpenStreetMap']"
39440179,"['Simple architecture', 'Microframeworks', 'Modular interfaces', 'Vanilla HTML', 'Scalability', 'CRUD']",20-02-2024,"['Simple architecture', 'Microframeworks', 'Modular interfaces', 'Vanilla HTML', 'Scalability', 'CRUD']"
