id,keywords,date
39409535,[],20-02-2024
39409650,"['Vision models', 'Language models', 'Ollama', 'AI development', 'GPU', 'Windows experience', 'GPU acceleration']",20-02-2024
39409653,"['Construction', 'Renewable energy', 'Solar farm', 'Electricians', 'Laborers']",20-02-2024
39413972,"['Postgres', 'GitHub', 'SQL', 'Migration management', 'DevOps', 'GitLab', 'Ruby on Rails', 'Schema']",20-02-2024
39414532,"['Control', 'Transparency', 'Representation', 'Engineering', 'Vectors']",20-02-2024
39415234,"['Hugo Awards', 'Political issues', 'Transparency', 'Censorship', 'China']",20-02-2024
39416543,"['CTO', 'Team', 'Meeting', 'Smartwatch', 'Event', 'Elim', 'CTO', 'Launching initiative', 'Project', 'Flack app']",20-02-2024
39421090,"['Remote connection', 'GUI', 'Intelligence', 'Rust', 'Code editor']",20-02-2024
39423949,"['Google', 'Google search results', 'Hacker News', 'SEOs', 'Visibility', 'Spam', 'Keywords', 'Forum']",20-02-2024
39424688,"['YouTube', 'Platforms', 'Reliability', 'Security', 'Trust', 'Signal', 'Comparison']",20-02-2024
39426631,"['3D rendering', 'Mobile development', 'Open source', 'Cross-platform', 'the MacStadium Open Source Developer Program', 'API', 'Game engine']",20-02-2024
39427876,"['Piracy', 'Convenience', 'Discovery', 'Music streaming', 'Spotify']",20-02-2024
39428409,"['GitHub', 'Proton UI', 'Windows 7 and Windows 8', 'UI/UX design', 'UI/UX', 'Mozilla', 'Windows 7/8', 'Firefox', 'Windows', 'the Firefox-UI-Fix']",20-02-2024
39428880,"['AI', 'Interface', 'ML', 'Language', 'NLP', 'GroqLabs']",20-02-2024
39429370,"['HTML code', 'Links', 'Demonstrations', 'Snippet', 'Automation', 'Microframework', 'Modularity', 'User interfaces', 'Vanilla']",20-02-2024
39430095,"['Lung cancer', 'Non-small cell lung cancer (NSCLC)', 'Treatment', 'NSCLC', 'Tagrisso', 'The Financial Times', 'Cancer']",20-02-2024
39432876,"['Calendar', 'Organization', 'Prioritizing', 'Productivity', 'Task management']",20-02-2024
39433451,"['Google', 'HouseFresh', 'Editorial decisions', 'Diversity', 'Popular media', 'Algorithm', 'Search results', 'Reader usefulness']",20-02-2024
39435320,"['Algorithms', 'Machine learning', 'Applications', 'ML', 'AI', 'Artificial intelligence', 'Data sets']",20-02-2024
39436358,"['Rapid DTMF keysmash', 'Anti-spam tactic', 'Voicemail greeting', 'IKEA', 'DTMF bomb', 'PBX security', 'DTMF']",20-02-2024
39439655,"['Theme parks', 'JavaScript', '3D visualization', 'OSM', 'OpenStreetMap', 'WebAssembly', 'API', 'Maps', 'A-Frame', 'Disney World', 'Wait times']",21-02-2024
39440179,"['CRUD', 'Postgres database', 'Simple architectures', 'High traffic handling', 'Cheap and easier building', 'CRUD app architecture']",21-02-2024
39442273,"['Large scale scraping', 'Scraping challenges', 'Web crawling', 'Python libraries', 'Scrapy, Selenium', 'BeautifulSoup']",21-02-2024
39442429,"['Hackers', 'Language model learning models (LLMs)', 'AI', 'Cyberoperations', 'Threat intelligence', 'Microsoft', 'Artificial intelligence (AI)']",21-02-2024
39443679,"['Parallel access', 'SSD', 'Interface speed', 'Capacity per dollar', 'SATA', 'Flash chips']",21-02-2024
39443965,"['Large Language Models', 'Natural language processing', 'Machine learning', 'Language models', 'LLM', 'Tokenization', 'Text processing']",21-02-2024
39444500,"['Searching', 'Contacts', 'Privacy', 'Alternative', 'Visibility', 'Signal']",21-02-2024
39446537,"['Off-the-shelf components', 'Circuit board', 'LED project', 'Multilayer boards', 'Custom design']",21-02-2024
39447041,"['Kagi HQ', 'Developments', 'Updates', 'Community', 'News', 'Discord']",21-02-2024
39449424,"['Cost-effectiveness', 'Modern design practices', 'Flexibility', 'Family preferences', 'House design']",22-02-2024
39449748,"['Technology', 'Japan', 'Security', 'Rapidus Corp.', 'Investment', 'Chipmaking']",22-02-2024
39452494,"['Democratization of security', 'Security research tools', 'Federal government proposal', 'Product safety', 'Insecure products']",23-02-2024
39453271,"['assist', 'Google', 'models', 'AI', 'development', 'responsibly', 'Google DeepMind']",23-02-2024
39453660,"['Verification', 'Security', 'Cryptography', 'Apple', 'Messaging', 'Encryption']",23-02-2024
39457974,[],24-02-2024
39458264,"['Google', 'Gemini Pro', 'Tokenizer', 'AI model series', 'Video processing', 'Book recognition']",24-02-2024
39462516,"['Space companies', 'Listings', 'Incomplete', 'Details', 'Comparison']",24-02-2024
39465230,"['CST', 'Solar charging', 'Orbit raise', 'Intuitive Machines', 'Insertion maneuver', 'Crater imaging', 'Spacecraft', 'Landing', 'Telemetry', 'Terrain navigation', 'Lunar orbit', 'NASA']",24-02-2024
39465250,"['Google', 'controversy', 'AI image generator', 'Gemini', 'accuracy', 'social media', 'apology', 'race depiction', 'historical figures']",24-02-2024
39465517,"['Calls', 'Cellular outage', 'United States', 'AT&T', 'Emergency services', 'AT&T users']",24-02-2024
39466630,"['Improved performance', 'Multi-subject prompts', 'Stable Diffusion 3', 'Safe and responsible AI practices', 'AI', 'Text-to-image model']",24-02-2024
39470381,"['BIOS/UEFI', 'Raw Gadget', 'USB emulation', 'ACPI', 'xDCI', 'ThinkPad', 'USB', 'Raw Gadget module', 'Linux kernel drivers']",24-02-2024
39471116,"['Decentralization', 'User choice', 'Social media', 'Data hosting', 'Federated model']",24-02-2024
