id,keywords,date
39408288,"['Atom to Rust', 'Choices', 'Development', 'Vision', 'Technology', 'Zed']",20-02-2024
39409535,,20-02-2024
39409650,"['Language models', 'Vision models', 'Windows', 'GPU', 'Preview', 'Ollama']",20-02-2024
39409653,"['Construction', 'Canigou Group', 'Electricians', 'Solar farm', 'Renewable energy', 'Laborers']",20-02-2024
39413972,"['SQL', 'monolithic', 'structuresql', 'Ruby on Rails', 'schema migration', 'DevOps', 'Postgres', 'Gitlab', 'database neutrality', 'GitHub', 'open-source']",20-02-2024
39414532,"['Control vectors', 'Inference manipulation', 'Model interpretability', 'Safety applications', 'AI transparency']",20-02-2024
39415234,"['Literary award', 'Hugo Awards', 'Science fiction', 'China', 'Political considerations']",20-02-2024
39416543,"['Project', 'Ethica', 'Calendar', 'Learning', 'HypeScript', 'Smartwatch', 'Meeting']",20-02-2024
39416602,"['Hacking', 'Apple Watch', 'Privacy', 'Personal Information', 'Security']",20-02-2024
39417503,"['SQLite', 'Database', 'WebDAV', 'File system', 'Inspect']",20-02-2024
39418283,"['Modern features', 'Community contributions', 'Open-source reimplementation', 'Business simulator', 'Theme Hospital']",20-02-2024
39418386,"['Fee', 'Premium subscription', 'Industry standards', 'Spotify', 'Antitrust probe', 'Subscription', 'The European Commission']",20-02-2024
39418412,"['the Digital Markets Act', 'Compliance', 'Privacy', 'EU', 'Web apps', 'Apple']",20-02-2024
39420453,"['Debugging', 'Analysis', 'Development', 'Performance', 'Tools']",20-02-2024
39420769,"['American universities', 'Seminars', 'Cultural differences', 'College', 'Chinese students']",20-02-2024
39421090,"['Code editor', 'LSP', 'Remote connection', 'WASI', 'Rust', 'Open source']",20-02-2024
39423949,"['Google', 'Hacker News', 'SEO strategies', 'Platform growth', 'Personal insights', 'Google updates']",20-02-2024
39424688,"['Quality', 'Signal', 'Small platforms', 'Scams/spam/fraudulent content', 'Larger platforms', 'Trustworthiness']",20-02-2024
39426631,"['Spine', 'Visual editor', 'Android', 'API', 'Rendering features', 'Cross-platform', 'Game engine', 'The Castle Game Engine', 'Open source']",20-02-2024
39427876,"['Music streaming', 'User experience', 'Personalization', 'Piracy', 'Customization']",20-02-2024
